"Index","Venue.ID","Cluster.ID","Event.Lon","Event.Lat"
"140",139,11442842,5,-80.142403,40.448868
"141",140,20804532,6,-80.005486,40.433949
"142",141,1545901,0,-80.049225,40.353638
"143",142,23626200,4,-80.017372,40.446075
"144",143,20780262,4,-79.993423,40.459293
"145",144,2576351,5,-80.06115,40.394966
"146",145,18164272,5,-80.017685,40.546852
"147",146,20510472,5,-79.933632,40.451412
"148",147,1854861,5,-79.900291,40.613205
"149",148,674812,5,-79.972336,40.428295
"150",149,23642275,5,0,0
"151",150,11666052,1,-80.000687,40.35939
"152",151,12816712,1,-80.044571,40.399273
"153",152,911421,0,-79.957462,40.423227
"154",153,8337782,5,-79.980501,40.461108
"155",154,1136838,7,-80.041341,40.423784
"156",155,937447,6,-80.007369,40.430364
"157",156,15594022,5,-79.995888,40.440624
"158",157,727351,5,-80.176316,40.449835
"159",158,852775,5,-80.003711,40.432542
"160",159,8129432,5,-80.010818,40.445938
"161",160,721440,5,-79.898384,40.431808
"162",161,24187292,5,-79.963905,40.461864
"163",162,23998769,5,-79.56413,40.277355
"164",163,997661,5,-79.948149,40.440809
"165",164,23923760,5,-80.021164,40.490067
"166",165,4759112,5,-79.94216,40.431979
"167",166,22100192,5,-79.997467,40.438339
"168",167,23797045,5,-79.557869,40.350212
"169",168,7588462,5,-79.888092,40.432568
"170",169,23592287,5,-80.160194,40.304428
"171",170,8626252,5,-80.080658,40.654568
"172",171,3017921,5,-80.050003,40.684216
"173",172,24173140,5,-80.079674,40.65451
"174",173,23976966,5,-79.828491,40.620811
"175",174,740042,0,-79.979666,40.594669
"176",175,24033346,5,-79.963692,40.438213
"177",176,674836,5,-79.99923,40.44261
"178",177,3963902,5,-79.947922,40.461079
"179",178,9933862,6,-79.996666,40.443378
"180",179,1108438,5,-79.963923,40.465831
"181",180,24053265,5,-79.98939,40.43682
"182",181,1013607,5,-79.899085,40.449691
"183",182,674802,6,-80.003494,40.452225
"184",183,8659062,5,-79.915207,40.430264
"185",184,24038997,5,-79.901573,40.387962
"186",185,955603,5,-79.996123,40.443417
"187",186,24024710,0,-80.010582,40.454731
"188",187,24142157,7,-79.995888,40.440624
"189",188,6434262,7,-80.001007,40.443089
"190",189,22802542,5,-79.998665,40.443642
"191",190,23475652,6,-79.996658,40.443264
"192",191,24063288,4,-80.055374,40.496185
"193",192,11825272,5,-79.885071,40.443966
"194",193,17956022,7,-80.002548,40.443848
"195",194,19695892,5,-79.998634,40.442822
"196",195,20158732,5,-79.997467,40.438339
"197",196,18838672,5,-80.177849,40.446178
"198",197,2539771,5,-79.93341,40.45142
"199",198,4708992,5,-79.90229,40.446594
"200",199,24095341,5,-80.085869,40.406841
"201",200,19515162,0,-79.972046,40.478786
"202",201,10657782,5,-79.960457,40.470444
"203",202,1059488,5,-79.842896,40.515626
"204",203,23909084,5,-79.76342,40.420403
"205",204,763021,7,-80.002187,40.442724
"206",205,24103460,5,-79.949867,40.503819
"207",206,879741,3,-79.943053,40.450916
"208",207,12533622,5,-79.94301,40.441658
"209",208,24068648,5,-79.923996,40.436008
"210",209,23676949,0,-80.079445,40.583988
"211",210,12733572,0,-79.972717,40.480885
"212",211,24154310,0,-79.97438,40.48122
"213",212,17499532,5,-79.985107,40.451435
"214",213,10279342,5,-79.995888,40.440624
"215",214,308361,5,-79.932852,40.451375
