id,venue,lat,lon,neighborhood
194,Crazy Mocha - (412) 521-1056,40.432976,-79.917404,Squirrel Hill South
195,Magee-Womens Hospital of UPMC Suite 5600,40.437542,-79.960396,
196,Game Masters,40.541824,-80.02695,
197,Management Science Associates,40.454826,-79.913498,Squirrel Hill North
198,Temple Baptist Church,40.408634,-79.99115,Bon Air
199,Quantum Counseling Services,40.692699,-80.105698,
200,East End Food Co-Op,40.448215,-79.895462,Point Breeze
201,NoWait,40.441303,-79.95776,West Oakland
202,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
203,Kings Family Restaurant,40.61713,-80.093559,
204,Revv Oakland,40.441185,-79.957092,South Oakland
205,Pittsburgh Playwrights Theatre Company,40.443378,-79.996666,Central Business District
206,Pittsburgh Playwrights Theatre Company,40.443378,-79.996666,Central Business District
207,Helen Wayne Raub Studio Theater Purnell Ctr.,40.44112,-79.941872,Central Oakland
208,Smiling Moose,40.428715,-79.984962,Allentown
209,Smiling Moose,40.428715,-79.984962,Allentown
210,Carnegie Library of Pittsburgh - Downtown and Business Branch,40.44175,-79.99752,
211,Cafe Kolache,40.696453,-80.301849,
212,Carnegie Museum of Art and Natural History,40.444138,-79.949265,Central Oakland
213,Carnegie Museum of Art and Natural History,40.444138,-79.949265,Central Oakland
214,Jergel s,40.654709,-80.08242,
215,jergels ,40.654755,-80.081772,
216,Carnegie Museum of Art,40.443626,-79.950623,Central Oakland
217,Great Hall College of Fine Arts Building ,40.442493,-79.942551,Central Oakland
218,Kings Family Restaurant,40.256481,-80.150963,
219,Panera Bread,40.633533,-80.059784,
220,Panera Bread,40.633533,-80.059784,
221,Sharp Edge Bistro,40.444038,-79.997261,Central Business District
222,Sharp Edge Bistro,40.444,-79.997223,Central Business District
223,TechShop Pittsburgh,40.456928,-79.915764,Shadyside
224,En Garde Fencing Club ,40.496241,-79.94392,
225,Sharp Edge Bistro,40.443962,-79.997208,Central Business District
226,Cost Center Outdoor IM Fields,40.438339,-79.997467,South Shore
227,Christina s Restaurant,40.347141,-79.792244,
228,Holistic Approach 4 Life,40.328297,-80.12561,
229,Market District Supermarket,40.441742,-80.151283,
230,Hoss s Steak and Sea House,40.422981,-79.663353,
231,Bridge Coworking,40.365257,-79.982224,
232,Panera Bread,40.358051,-80.052071,
233,Revv Oakland,40.441185,-79.957092,South Oakland
234,Regent Square Theater,40.433416,-79.894225,Squirrel Hill South
235,Regent Square Theater,40.433416,-79.894225,Squirrel Hill South
236,Regent Square Theater,40.433416,-79.894225,Squirrel Hill South
237,Dobra Tea,40.434963,-79.922806,Squirrel Hill South
238,L.L.Bean Store at Ross Park Mall,40.543087,-80.009415,
239,Steel Cactus,40.451412,-79.933632,Squirrel Hill North
240,Children s Museum,40.452587,-80.007088,North Shore
