224885386,concert,music,jazz
224888344,university,new,learn
224892234,dance,free,salsa
224894179,meetings,blur,contest
224896394,law,people,grand
224896600,pm,food,event
224897982,film,black,festival
224899076,event,bring,one
224900331,album,open,fiction
224900429,album,open,fiction
224900479,park,august,pm
224902007,album,open,fiction
224902700,event,healing,life
224903546,please,also,visit
224905370,park,august,pm
224905454,park,august,pm
224905536,session,class,good
224905603,us,first,bring
224907214,park,august,pm
224907256,class,yoga,classes
224914340,work,beginners,welcome
224922525,event,healing,life
224924851,event,healing,life
224939238,university,new,learn
224944686,film,black,festival
224947815,pm,food,event
224947948,please,water,river
224948035,pm,food,event
224948088,please,water,river
224951486,game,games,field
224951710,pm,happy,hour
224962720,prizes,free,key
224963201,album,open,fiction
224969148,tickets,show,ticket
224969166,university,new,learn
224969185,university,new,learn
224969267,wait,members,pm
224975195,pm,food,event
224986622,please,water,river
224996667,dance,free,salsa
224999426,lunch,pm,business
224999953,event,healing,life
224999963,event,healing,life
225002824,class,yoga,classes
225008436,class,yoga,classes
225009919,please,water,river
225009991,pm,food,event
225010035,please,water,river
225012724,tickets,show,ticket
225012948,tickets,show,ticket
225016487,concert,music,jazz
225017476,wait,members,pm
225036020,university,new,learn
225036997,game,games,field
225048767,wait,members,pm
225049243,wait,members,pm
225049269,wait,members,pm
225049367,wait,members,pm
225052010,event,bring,one
225058824,please,also,visit
225062121,concert,music,jazz
225063341,game,games,field
225063919,game,games,field
225067694,film,black,festival
225070865,banjo,club,hall
225073665,class,yoga,classes
225081448,concert,music,jazz
225081497,concert,music,jazz
225092216,event,bring,one
225093409,event,healing,life
225093838,please,water,river
225111796,pm,food,event
225117559,concert,music,jazz
225119304,event,bring,one
225127612,us,first,bring
225127798,pm,food,event
225127861,please,water,river
225128945,bring,us,join
225129371,event,bring,one
225154283,game,games,field
225165580,pm,food,event
225167888,please,water,river
225172274,please,also,visit
225184363,pm,food,event
225184435,pm,food,event
225184537,pm,food,event
225185219,event,healing,life
225185379,vegan,raw,free
225187613,game,games,field
225190172,class,yoga,classes
225195050,park,august,pm
225201404,university,new,learn
225201622,event,bring,one
225202436,game,games,field
225202686,pm,happy,hour
225203168,game,games,field
225204734,event,healing,life
225204757,event,healing,life
225207071,dance,free,salsa
225210533,lunch,pm,business
225218839,session,class,good
225233371,event,healing,life
225233487,event,healing,life
225239795,film,black,festival
225242081,pm,happy,hour
225256316,pm,food,event
225268871,please,water,river
225285793,event,healing,life
225287731,pm,happy,hour
225307472,event,bring,one
225316185,us,first,bring
225324744,game,games,field
225326841,dance,free,salsa
225328253,event,healing,life
225335146,vegan,raw,free
225338044,show,tickets,comedy
225341727,film,black,festival
225347428,film,black,festival
225355977,dance,free,salsa
225355994,game,games,field
225359482,lunch,pm,business
225360546,pm,happy,hour
225362686,event,bring,one
225363003,please,also,visit
225367693,banjo,club,hall
225371561,pm,happy,hour
225372832,film,black,festival
225383617,pm,food,event
225386009,please,water,river
225387203,pm,food,event
225387990,please,also,visit
225391769,film,black,festival
225393344,please,water,river
225406338,pm,happy,hour
225406524,park,august,pm
225406639,concert,music,jazz
225411671,work,beginners,welcome
225423460,event,healing,life
225443315,banjo,club,hall
225443377,game,games,field
225443764,album,open,fiction
225445507,work,beginners,welcome
225467710,game,games,field
225467818,film,black,festival
225467853,banjo,club,hall
225468783,class,yoga,classes
225472625,pm,food,event
225472725,university,new,learn
225472876,wait,members,pm
225472892,wait,members,pm
225480207,wait,members,pm
225480228,wait,members,pm
225480243,wait,members,pm
225487548,film,black,festival
225496599,event,healing,life
225497096,wait,members,pm
225498949,pm,food,event
225507913,banjo,club,hall
225513402,class,yoga,classes
225515955,event,healing,life
225519252,university,new,learn
225521404,please,also,visit
225522334,show,tickets,comedy
225523114,pm,food,event
225523217,pm,food,event
225523852,law,people,grand
225526992,dance,free,salsa
225530614,film,black,festival
225533665,please,also,visit
225535401,pm,happy,hour
225541685,concert,music,jazz
225543087,film,black,festival
225544376,show,tickets,comedy
225545992,amp,ch,intermediate
225548453,vegan,raw,free
225561456,pm,happy,hour
225561486,pm,happy,hour
225562286,university,new,learn
225562551,show,tickets,comedy
225562930,pm,food,event
225563094,concert,music,jazz
225563262,park,august,pm
225567066,pm,happy,hour
225576594,concert,music,jazz
225576681,pm,food,event
225587273,event,bring,one
225590025,law,people,grand
225590114,university,new,learn
225590134,film,black,festival
225590149,game,games,field
225590200,dance,free,salsa
225590336,university,new,learn
225590497,film,black,festival
225597771,church,st,mass
225597811,church,st,mass
225607468,please,water,river
225628673,meetings,blur,contest
225631238,wait,members,pm
225631439,film,black,festival
225642530,tickets,show,ticket
225650680,park,august,pm
225655297,pm,happy,hour
225659866,class,yoga,classes
225665180,album,open,fiction
225665225,album,open,fiction
225665247,album,open,fiction
225669389,university,new,learn
225669460,concert,music,jazz
225669499,university,new,learn
225671082,game,games,field
225681064,pm,happy,hour
225682347,show,tickets,comedy
225683052,show,tickets,comedy
225685468,bring,us,join
225685847,vegan,raw,free
225686023,games,sign,day
225686182,vegan,raw,free
225686656,vegan,raw,free
225686774,vegan,raw,free
225702518,pm,happy,hour
225703806,pm,happy,hour
225707943,please,water,river
