Venue,Month,EID,Topic,Count
19036712,8,qtcqcjytlbjc,play,1
19036712,8,qtcqcjytlbjc,lower,1
19036712,8,qtcqcjytlbjc,scrabble,1
19036712,8,qtcqcjytlbqb,see,1
19036712,8,qtcqcjytlbqb,ultimate,1
19036712,8,qtcqcjytlbqb,mob,1
19036712,8,qtcqcjytlbqb,oval,1
19036712,8,qtcqcjytlbqb,play,1
19036712,8,qtcqcjytlbqb,lower,1
19036712,8,qtcqcjytlbqb,learn,1
19036712,8,qtcqcjytlbqb,come,1
19036712,8,qtcqcjytlbqb,mass,1
19036712,8,qtcqcjytlbqb,scrabble,1
19036712,8,qtcqcjytlbzb,see,1
19036712,8,qtcqcjytlbzb,come,1
19036712,8,qtcqcjytlbzb,learn,1
19036712,8,qtcqcjytlbzb,mass,1
19036712,8,qtcqcjytlbzb,play,1
19036712,8,qtcqcjytlbzb,oval,1
19036712,8,qtcqcjytlbzb,mob,1
19036712,8,qtcqcjytlbzb,ultimate,1
19036712,8,qtcqcjytlbzb,scrabble,1
19036712,8,qtcqcjytlbzb,lower,1
19036712,9,qtcqcjytmbdb,come,1
19036712,9,qtcqcjytmbdb,mob,1
19036712,9,qtcqcjytmbdb,mass,1
19036712,9,qtcqcjytmbdb,ultimate,1
19036712,9,qtcqcjytmbdb,scrabble,1
19036712,9,qtcqcjytmbdb,oval,1
19036712,9,qtcqcjytmbdb,see,1
19036712,9,qtcqcjytmbdb,lower,1
19036712,9,qtcqcjytmbdb,play,1
19036712,9,qtcqcjytmbdb,learn,1
19036712,9,qtcqcjytmbmb,come,1
19036712,9,qtcqcjytmbmb,ultimate,1
19036712,9,qtcqcjytmbmb,mass,1
19036712,9,qtcqcjytmbmb,see,1
19036712,9,qtcqcjytmbmb,mob,1
19036712,9,qtcqcjytmbmb,oval,1
19036712,9,qtcqcjytmbmb,scrabble,1
19036712,9,qtcqcjytmbmb,play,1
19036712,9,qtcqcjytmbmb,lower,1
19036712,9,qtcqcjytmbmb,learn,1
19036712,9,qtcqcjytmbnc,see,1
19036712,9,qtcqcjytmbnc,lower,1
19036712,9,qtcqcjytmbnc,learn,1
19036712,9,qtcqcjytmbnc,mob,1
19036712,9,qtcqcjytmbnc,come,1
19036712,9,qtcqcjytmbnc,scrabble,1
19036712,9,qtcqcjytmbnc,mass,1
19036712,9,qtcqcjytmbnc,oval,1
19036712,9,qtcqcjytmbnc,play,1
19036712,9,qtcqcjytmbnc,ultimate,1
19036712,9,qtcqcjytmbvb,mob,1
19036712,9,qtcqcjytmbvb,scrabble,1
19036712,9,qtcqcjytmbvb,play,1
19036712,9,qtcqcjytmbvb,lower,1
19036712,9,qtcqcjytmbvb,come,1
